직함,나이,학력,코딩 경력(년),ML 경력(년),Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,Scikit-learn,TensorFlow,Keras,PyTorch,Fast.ai,Xgboost,LightGBM,CatBoost,Caret,Tidymodels,JAX,PyTorch Lightning,Huggingface,Linear/Logistic Regression,Decision Trees/Random Forests,"Gradient Boosting (XGB, LGBM)",Bayesian Approaches,Evolutionary Approaches,Dense Neural Networks (MLP),CNN,GAN,RNN,"Transformer (BERT, GPT)","Autoencoder (DAE, VAE)",Graph Neural Networks,연봉 (USD)
Data Scientist,55-59,Some college/university study without earning a bachelor’s degree,10-20 years,1-2 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,, Huggingface ,,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"25,000-29,999"
Data Scientist,40-44,Master’s degree,10-20 years,5-10 years,Python,,SQL,C,C#,,,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,, LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,Graph Neural Networks,"200,000-249,999"
Data Scientist,30-34,Master’s degree,5-10 years,2-3 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,, Keras ,,, Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"150,000-199,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",50-54,Doctoral degree,3-5 years,4-5 years,Python,,,,,,,,,,,,,,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,,,Bayesian Approaches,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"90,000-99,999"
Data Engineer,25-29,Master’s degree,5-10 years,2-3 years,Python,,SQL,C,,C++,Java,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"30,000-39,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,I prefer not to answer,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"30,000-39,999"
Data Engineer,25-29,Master’s degree,3-5 years,2-3 years,Python,R,SQL,C,,C++,,,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"30,000-39,999"
Data Scientist,35-39,Bachelor’s degree,5-10 years,4-5 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"50,000-59,999"
Machine Learning/ MLops Engineer,30-34,Master’s degree,3-5 years,3-4 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,"125,000-149,999"
Data Scientist,25-29,Master’s degree,3-5 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
Machine Learning/ MLops Engineer,22-24,Master’s degree,5-10 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"5,000-7,499"
Data Scientist,50-54,Doctoral degree,5-10 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,,,,,,,,,,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"10,000-14,999"
